;;;;enero;enero;enero;enero;;febrero;febrero;febrero;febrero;;marzo;marzo;marzo;marzo;;abril;abril;abril;abril;;mayo;mayo;mayo;mayo;;junio;junio;junio;junio;;julio;julio;julio;julio;;agosto;agosto;agosto;agosto;;septiembre;septiembre;septiembre;septiembre;;octubre;octubre;octubre;octubre;;noviembre;noviembre;noviembre;noviembre;;diciembre;diciembre;diciembre;diciembre;;Total;Total;Total;Total;2024;2024;2024;2024;Total
__clase____descripcion;__subclase____descripcion;__producto____descripcion;codigo;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;Kg ;Margen; ﾛ/Kilo ;Precio medio;ﾛ
Cefal用odos-Todos;Pot溶;Enharinado;181940120;1.800;7.740;2.430;1,35;6,00%;1.800;7.740;2.430;1,35;6,00%;3.600;15.480;4.860;1,35;12,00%;2.400;10.320;3.240;1,35;8,00%;3.600;15.480;4.860;1,35;12,00%;3.000;12.900;4.050;1,35;10,00%;2.700;11.610;3.645;1,35;9,00%;3.300;14.190;4.455;1,35;11,00%;1.500;6.450;2.025;1,35;5,00%;2.700;11.610;3.645;1,35;9,00%;2.100;9.030;2.835;1,35;7,00%;1.500;6.450;2.025;1,35;5,00%;30.000;129.000;40.500;1,35;30.000;40.500;1,35;4,30;
Cefal用odos-Todos;Pot溶;Manto;159100130;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0;0;0,00;;
Cefal用odos-Todos;Pot溶;Rabas;180550100;60.900;283.185;71.253;1,17;6,00%;60.900;283.185;71.253;1,17;6,00%;101.500;471.975;118.755;1,17;10,00%;91.350;424.778;106.880;1,17;9,00%;101.500;471.975;118.755;1,17;10,00%;81.200;377.580;95.004;1,17;8,00%;111.650;519.173;130.631;1,17;11,00%;131.950;613.568;154.382;1,17;13,00%;71.050;330.383;83.129;1,17;7,00%;91.350;424.778;106.880;1,17;9,00%;71.050;330.383;83.129;1,17;7,00%;40.600;188.790;47.502;1,17;4,00%;1.015.000;4.719.750;1.187.550;1,17;1.015.000;1.187.550;1,17;4,65;
Cefal用odos-Todos;Pot溶;Tubo;152208205;4.250;11.900;2.763;0,65;5,00%;5.100;14.280;3.315;0,65;6,00%;10.200;28.560;6.630;0,65;12,00%;6.800;19.040;4.420;0,65;8,00%;7.650;21.420;4.973;0,65;9,00%;6.800;19.040;4.420;0,65;8,00%;10.200;28.560;6.630;0,65;12,00%;11.050;30.940;7.183;0,65;13,00%;5.950;16.660;3.868;0,65;7,00%;6.800;19.040;4.420;0,65;8,00%;6.800;19.040;4.420;0,65;8,00%;3.400;9.520;2.210;0,65;4,00%;85.000;238.000;55.250;0,65;85.000;55.250;0,65;2,80;
Cefal用odos-Todos;Puntilla;Total;184912400;31.200;123.240;34.320;1,10;6,00%;31.200;123.240;34.320;1,10;6,00%;62.400;246.480;68.640;1,10;12,00%;41.600;164.320;45.760;1,10;8,00%;52.000;205.400;57.200;1,10;10,00%;52.000;205.400;57.200;1,10;10,00%;57.200;225.940;62.920;1,10;11,00%;62.400;246.480;68.640;1,10;12,00%;31.200;123.240;34.320;1,10;6,00%;41.600;164.320;45.760;1,10;8,00%;36.400;143.780;40.040;1,10;7,00%;20.800;82.160;22.880;1,10;4,00%;520.000;2.054.000;572.000;1,10;520.000;572.000;1,10;3,95;
Cefal用odos-Todos;Sepia;Total;141950156;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0;0;;;
En curso;Total;;;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0,00;;;;
Mariscos;Total;;306710101;43.400;282.100;56.420;1,30;7,00%;37.200;241.800;48.360;1,30;6,00%;62.000;403.000;80.600;1,30;10,00%;49.600;322.400;64.480;1,30;8,00%;49.600;322.400;64.480;1,30;8,00%;49.600;322.400;64.480;1,30;8,00%;62.000;403.000;80.600;1,30;10,00%;74.400;483.600;96.720;1,30;12,00%;43.400;282.100;56.420;1,30;7,00%;55.800;362.700;72.540;1,30;9,00%;49.600;322.400;64.480;1,30;8,00%;43.400;282.100;56.420;1,30;7,00%;620.000;4.030.000;806.000;1,30;620.000;806.000;1,30;6,50;
Mezclas;Total;;172000100;31.600;132.720;30.336;0,96;8,00%;27.650;116.130;26.544;0,96;7,00%;43.450;182.490;41.712;0,96;11,00%;31.600;132.720;30.336;0,96;8,00%;39.500;165.900;37.920;0,96;10,00%;31.600;132.720;30.336;0,96;8,00%;35.550;149.310;34.128;0,96;9,00%;39.500;165.900;37.920;0,96;10,00%;27.650;116.130;26.544;0,96;7,00%;35.550;149.310;34.128;0,96;9,00%;27.650;116.130;26.544;0,96;7,00%;23.700;99.540;22.752;0,96;6,00%;395.000;1.659.000;379.200;0,96;395.000;379.200;0,96;4,20;
No Comercial;Total;;;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0,00;0;;;
